Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;closure1;closure1-quantised;closure2;closure2-quantised;closure3;closure3-quantised;closure4;closure4-quantised;closure5;closure5-quantised;closure6;closure6-quantised;closure7;closure7-quantised;closure8;closure8-quantised;closure9;closure9-quantised;closure10;closure10-quantised;closure11;closure11-quantised;closure12;closure12-quantised;closure13;closure13-quantised;closure14;closure14-quantised;closure15;closure15-quantised;END QUESTIONNAIRE
1;1643354003504;28/01/2022 07:13:23;1643354031599;2;28/01/2022 09:13:51;55551;25;questionnaire-mz16;;18951623;BLIND;5614189;;complete;;;computer;Desktop or Laptop;Linux i686;Firefox 78.0;1680x1050;1680x898;Openminded Chunk;Need for Closure Scale (Finnish);5;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;1;1;2;2;2;2;4;4;2;2;5;5;3;3;2;2;4;4;2;2;1;1;1;1;2;2;3;3;102977
1;1643381983081;28/01/2022 14:59:43;1643381982920;2;28/01/2022 16:59:42;55551;25;questionnaire-mz16;;18964512;BLIND;5616968;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1301x732;1302x659;Openminded Chunk;Need for Closure Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;1;1;2;2;1;1;4;4;1;1;1;1;5;5;4;4;5;5;1;1;4;4;1;1;1;1;2;2;98040
1;1643390489897;28/01/2022 17:21:29;1643390489678;2;28/01/2022 19:21:29;55551;25;questionnaire-mz16;;18969411;BLIND;5618126;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1920x1080;1280x587;Openminded Chunk;Need for Closure Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;3;3;4;4;4;4;3;3;4;4;94942
1;1643411581731;28/01/2022 23:13:01;1643411582103;2;29/01/2022 01:13:02;55551;25;questionnaire-mz16;;18976057;BLIND;5621289;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1536x864;1536x711;Openminded Chunk;Need for Closure Scale (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;3;3;4;4;2;2;5;5;5;5;4;4;3;3;4;4;4;4;3;3;3;3;1;1;4;4;40981
1;1643556530343;30/01/2022 15:28:50;1643556533143;2;30/01/2022 17:28:53;55551;25;questionnaire-mz16;;18995387;BLIND;5626669;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x613;Reasoning Chunk;Need for Closure Scale (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;;No;6;6;3;3;3;3;4;4;2;2;2;2;5;5;3;3;4;4;3;3;4;4;4;4;4;4;3;3;2;2;88871
1;1643618890334;31/01/2022 08:48:10;1643618890235;2;31/01/2022 10:48:10;55551;25;questionnaire-mz16;;19005734;BLIND;5629626;;live;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1280x720;1024x462;Reasoning Chunk;Need for Closure Scale (Finnish);5;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;;No;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;3;3;6;6;4;4;3;3;4;4;1;1;4;4;86795
1;1643620037350;31/01/2022 09:07:17;1643620037102;2;31/01/2022 11:07:17;55551;25;questionnaire-mz16;;19006068;BLIND;5629594;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1536x722;Openminded Chunk;Need for Closure Scale (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;5;5;3;3;2;2;3;3;4;4;3;3;4;4;3;3;4;4;4;4;4;4;3;3;3;3;108806
1;1643623580419;31/01/2022 10:06:20;1643623580286;2;31/01/2022 12:06:20;55551;25;questionnaire-mz16;;19007108;BLIND;5629995;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.2;1440x900;1416x710;Openminded Chunk;Need for Closure Scale (Finnish);5;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;6;6;5;5;3;3;5;5;6;6;6;6;5;5;6;6;3;3;6;6;5;5;1;1;3;3;70945
1;1643632325982;31/01/2022 12:32:05;1643632309839;2;31/01/2022 14:31:49;55551;25;questionnaire-mz16;;19011956;BLIND;5631076;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 97.0.4692.99;1440x900;1440x693;Openminded Chunk;Need for Closure Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;5;5;4;4;4;4;6;6;4;4;4;4;4;4;5;5;3;3;5;5;5;5;4;4;6;6;72725
1;1643646966386;31/01/2022 16:36:06;1643646959233;2;31/01/2022 18:35:59;55551;25;questionnaire-mz16;;19022863;BLIND;5634435;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1536x754;Openminded Chunk;Need for Closure Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;2;2;6;6;2;2;2;2;5;5;4;4;1;1;4;4;4;4;2;2;3;3;1;1;1;1;107221
1;1643653702082;31/01/2022 18:28:22;1643653702571;2;31/01/2022 20:28:22;55551;25;questionnaire-mz16;;19028973;BLIND;5635997;;live;;;computer;Desktop or Laptop;Windows 8.1;Firefox 96.0;1280x720;1280x570;Science Chunk;Need for Closure Scale (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;;;No;4;4;4;4;5;5;2;2;3;3;4;4;6;6;4;4;4;4;3;3;2;2;4;4;5;5;4;4;4;4;137497
1;1643697075335;01/02/2022 06:31:15;1643697075227;2;01/02/2022 08:31:15;55551;25;questionnaire-mz16;;19045833;BLIND;5641501;;complete;;;computer;Desktop or Laptop;Linux x86_64;Firefox 91.0;1920x1080;1920x897;Openminded Chunk;Need for Closure Scale (Finnish);5;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;6;6;6;6;5;5;6;6;6;6;5;5;6;6;6;6;4;4;6;6;6;6;4;4;5;5;40720
1;1643732931791;01/02/2022 16:28:51;1643732932963;2;01/02/2022 18:28:52;55551;25;questionnaire-mz16;;19061359;BLIND;5645930;;complete;;;computer;Desktop or Laptop;Windows 7;Chrome 97.0.4692.99;1920x1080;1920x969;Openminded Chunk;Need for Closure Scale (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;4;4;3;3;3;3;1;1;2;2;6;6;4;4;1;1;6;6;4;4;2;2;3;3;1;1;2;2;100274
1;1643754282909;01/02/2022 22:24:42;1643754282817;1;01/02/2022 23:24:42;55551;25;questionnaire-mz16;;19071148;BLIND;5649003;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1280x720;1280x577;Openminded Chunk;Need for Closure Scale (Finnish);5;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;2;2;4;4;3;3;5;5;5;5;4;4;1;1;5;5;1;1;2;2;2;2;1;1;5;5;49715
1;1643795039248;02/02/2022 09:43:59;1643795039179;2;02/02/2022 11:43:59;55551;25;questionnaire-mz16;;19076559;BLIND;5650356;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1024x476;Openminded Chunk;Need for Closure Scale (Finnish);5;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;2;2;5;5;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;3;3;4;4;3;3;2;2;44149
