"AMean","CMean","EMean","ESMean","OMean","ICuriositySum","DCuriositySum","IH1Sum","IH2Sum","IH3Sum","IH4Sum","CloSum","CogSum","AOTSum","HEscore","HRscore","RPSum","sci_cur","sci_tru","sci_impo","sci_id","MatrixCorrectCount","GNGdprime","GNGbetalog","MeanGoRT","SDGoRTlog","GlobalToLocalInterferencelog","GlobalToLocalPrecedencelog","NeckerTotalRatelog","FlexSum"
3.5,4.5,5.5,1,6.5,24,20,11,21,21,16,54,86,45,1,1,2,16,11,17,18,7,3.69909577069557,-1.7457543982128,414.554666658243,1.94824035835994,0.495263172428677,0.0728856974187836,-0.301029995663981,50
4,5,6,5,6,20,18,19,20,20,19,36,78,43,1,1,1,19,14,17,15,5,2.41866902985569,-1.11330428206614,382.23698630041,2.02853160775913,0.54295732343196,0.0672667590068874,-0.209949526316649,27
4,4,4,5,4.5,20,12,19,19,21,15,47,84,35,1,1,3,12,15,15,16,6,3.03970081309388,-1.39554325070002,430.053511705685,1.91786412894477,0.486908548244425,0.083692253685446,-0.1249387366083,20
4.5,6.5,5.5,4,5,23,19,23,24,22,19,47,89,44,1,1,4,17,19,19,19,9,1.65269445023563,-0.965425667839982,302.952380952381,1.74697877579755,0.454451074238097,0.085696631801084,-0.0969100130080564,18
6,6.5,3,2,3.5,16,14,11,20,20,20,72,67,34,1,1,3,13,17,19,15,8,2.9359265886116,-1.0216296338597,370.255743243807,1.89089144635278,0.528263372892118,0.0732591230345665,-0.246672333341389,30
4.5,4,2.5,3,6.5,20,18,20,23,19,9,59,90,43,0,1,4,14,16,19,20,7,2.53776991839888,-0.763233911852396,484.433447098976,2.06024493107154,0.505466807965169,0.0661527503827208,-0.0457574905606751,57.5
5.5,5.5,2.5,6,4.5,22,18,15,20,20,13,66,63,42,1,1,4,16,16,20,19,7,4.09617698155142,-0.94086964478566,528.017056856068,1.91597459968386,0.460179430569269,0.0896691135491847,-0.259637310505756,23
4,5.5,3,5,3.5,14,8,19,19,19,15,51,62,44,1,1,2,15,14,16,17,7,3.4069773468022,-0.57309692629466,491.789830508475,2.03151871640605,0.475441647819364,0.0818676008117802,-0.209949526316649,36.5
4.5,4.5,6,4,5.5,20,15,18,18,18,18,44,92,44,0,1,3,15,18,17,18,8,2.0097020994153,-0.63572273142026,398.963380281682,1.96195673366376,0.435646157374982,0.0963907342549814,-0.165367393663908,24
5,3,5.5,3,6,24,18,18,21,18,21,28,98,44,0,1,3,18,18,18,18,9,3.07476482621693,-0.846648442162409,444.491525423729,2.05145427141055,0.577895071429706,0.0385464417561807,-0.187086643357144,30
6,5.5,5,6,5,19,14,24,17,24,17,38,93,34,1,1,1,15,13,19,19,7,2.06420275142227,-0.700427984247773,468.561403508771,2.00471468748738,0.495608314492185,0.0750489349391962,-0.176091259055681,23
3.5,5.5,5,4,4,23,15,20,21,18,23,43,85,43,1,0,2,18,16,18,15,6,3.63427770829843,-1.76631679602664,368.376999999682,1.76572098362486,0.502718647840484,0.0715978637654848,-0.0147232568207063,24
3.5,6,3.5,2,6,24,16,12,20,17,14,50,99,46,1,1,2,16,18,20,20,7,1.14000252183978,-0.525063210139275,409.740989395881,2.02533251604274,0.528732093047034,0.0790243956991208,-0.246672333341389,28
1.5,2,1,1,7,25,23,25,25,21,18,37,90,49,1,1,4,18,18,15,16,6,3.80287308196419,-1.70903356991391,423.284666666388,1.94023350895057,0.482713728843417,0.0227050642080415,-0.246672333341389,31
