Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;Icuriosity1;Icuriosity1-quantised;Dcuriosity1;Dcuriosity1-quantised;Icuriosity2;Icuriosity2-quantised;Dcuriosity2;Dcuriosity2-quantised;Icuriosity3;Icuriosity3-quantised;Dcuriosity3;Dcuriosity3-quantised;Icuriosity4;Icuriosity4-quantised;Dcuriosity4;Dcuriosity4-quantised;Icuriosity5;Icuriosity5-quantised;Dcuriosity5;Dcuriosity5-quantised;END QUESTIONNAIRE
1;1644018400332;04/02/2022 23:46:40;1644018400232;2;05/02/2022 01:46:40;55551;25;questionnaire-2wlk;;19184819;BLIND;5686104;;complete;;;computer;Desktop or Laptop;Linux x86_64;Chrome 98.0.4758.80;1920x1080;1351x895;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;45284
1;1644061583082;05/02/2022 11:46:23;1644061583880;2;05/02/2022 13:46:23;55551;25;questionnaire-2wlk;;19191408;BLIND;5687135;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1280x720;1280x552;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;4;4;3;3;4;4;4;4;4;4;3;3;4;4;4;4;2119021
1;1644073606797;05/02/2022 15:06:46;1644073032389;2;05/02/2022 16:57:12;55551;25;questionnaire-2wlk;;19196466;BLIND;5687746;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1280x720;1202x618;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;1;1;5;5;2;2;5;5;5;5;5;5;5;5;3;3;5;5;79746
1;1644077604360;05/02/2022 16:13:24;1644077604130;2;05/02/2022 18:13:24;55551;25;questionnaire-2wlk;;19198148;BLIND;5688370;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1280x800;1280x634;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;3;3;5;5;2;2;5;5;3;3;4;4;3;3;4;4;5;5;55767
1;1644139318823;06/02/2022 09:21:58;1644139320120;2;06/02/2022 11:22:00;55551;25;questionnaire-2wlk;;19206359;BLIND;5691188;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1280x720;1280x609;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;5;5;3;3;4;4;3;3;4;4;4;4;4;4;4;4;38165
1;1644150732616;06/02/2022 12:32:12;1644150732519;2;06/02/2022 14:32:12;55551;25;questionnaire-2wlk;;19209825;BLIND;5691497;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Chrome 95.0.4638.69;1280x800;1280x702;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;1;1;5;5;2;2;5;5;1;1;5;5;5;5;2;2;4;4;84298
1;1644179320468;06/02/2022 20:28:40;1644179495521;2;06/02/2022 22:31:35;55551;25;questionnaire-2wlk;;19219283;BLIND;5693586;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 98.0.1108.43;1366x768;1366x625;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;3;3;4;4;4;4;4;4;4;4;5;5;4;4;3;3;3;3;46535
1;1644181269171;06/02/2022 21:01:09;1644181268984;2;06/02/2022 23:01:08;55551;25;questionnaire-2wlk;;19219798;BLIND;5693701;;live;;;computer;Desktop or Laptop;Mac OS 10.15;Firefox 96.0;1824x1140;1753x965;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;4;4;5;5;5;5;3;3;3;3;3;3;3;3;5;5;78810
1;1644226724163;07/02/2022 09:38:44;1644226724013;2;07/02/2022 11:38:44;55551;25;questionnaire-2wlk;;19226054;BLIND;5695843;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.6;Safari 14.0.1;1280x800;1280x634;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;3;3;2;2;3;3;4;4;4;4;2;2;2;2;2;2;33673
1;1644227946073;07/02/2022 09:59:06;1644227945602;2;07/02/2022 11:59:05;55551;25;questionnaire-2wlk;;19226488;BLIND;5695925;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1366x768;1366x663;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;5;5;4;4;5;5;3;3;4;4;4;4;5;5;4;4;25943
